num_students,pref_gen_name,project,rank
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
50,singleton,proj_8,8
50,singleton,proj_9,9
50,singleton,proj_10,10
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
50,singleton,proj_8,8
50,singleton,proj_9,9
50,singleton,proj_10,10
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
50,singleton,proj_8,8
50,singleton,proj_9,9
50,singleton,proj_10,10
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
50,singleton,proj_8,8
50,singleton,proj_9,9
50,singleton,proj_10,10
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
50,singleton,proj_8,8
50,singleton,proj_9,9
50,singleton,proj_10,10
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
50,singleton,proj_8,8
50,singleton,proj_9,9
50,singleton,proj_10,10
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
50,singleton,proj_8,8
50,singleton,proj_9,9
50,singleton,proj_10,10
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
50,singleton,proj_8,8
50,singleton,proj_9,9
50,singleton,proj_10,10
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
50,singleton,proj_8,8
50,singleton,proj_9,9
50,singleton,proj_10,10
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
50,singleton,proj_8,8
50,singleton,proj_9,9
50,singleton,proj_10,10
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
50,singleton,proj_8,8
50,singleton,proj_9,9
50,singleton,proj_10,10
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
50,singleton,proj_8,8
50,singleton,proj_9,9
50,singleton,proj_10,10
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
50,singleton,proj_8,8
50,singleton,proj_9,9
50,singleton,proj_10,10
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
50,singleton,proj_8,8
50,singleton,proj_9,9
50,singleton,proj_10,10
50,singleton,proj_1,1
50,singleton,proj_2,2
50,singleton,proj_3,3
50,singleton,proj_4,4
50,singleton,proj_5,5
50,singleton,proj_6,6
50,singleton,proj_7,7
